ModelFamily	ModelSize	ModelSeed	ModelStep	CorrelatingVariable	PearsonR	SpearmanRho
pythia	410m	seed1234	143000	OpenWebText_5gram	0.7468610998116348	0.7555173444955312
pythia	410m	seed1234	143000	OpenWebText_4gram	0.7595309686692724	0.7727464336531129
pythia	410m	seed1234	143000	OpenWebText_3gram	0.7586260773675652	0.7680149912708234
pythia	410m	seed1234	143000	OpenWebText_2gram	0.6921115272795935	0.6949222816191508
pythia	410m	seed1234	143000	OpenWebText_1gram	0.5288650251112743	0.5311895919471064
pythia	410m	seed1	0	Pile_5gram	0.008843850495370701	0.00861278801613784
pythia	410m	seed1	0	Pile_4gram	0.011493851898242757	0.011126054057971135
pythia	410m	seed1	0	Pile_3gram	0.01206191205797722	0.009666060364590907
pythia	410m	seed1	0	Pile_2gram	0.009592853000198473	0.006034269263306686
pythia	410m	seed1	0	Pile_1gram	0.01646988461676793	0.015274324910856608
pythia	410m	seed1	0	wcd_cc	-0.007178581124845118	-0.0036470148865978217
pythia	410m	seed1	0	ucd_cc	-0.010725487704912462	-0.004785915087130453
pythia	410m	seed1	0	wcd_wiki	0.010262896931833606	0.013489504127844235
pythia	410m	seed1	0	ucd_wiki	0.011329166032099183	0.015353967410704989
pythia	410m	seed1	0	OpenWebText_5gram	0.006400863821194041	0.005216075973903958
pythia	410m	seed1	0	OpenWebText_4gram	0.009285913913623734	0.008523836898662854
pythia	410m	seed1	0	OpenWebText_3gram	0.011619098010801859	0.009746130210894488
pythia	410m	seed1	0	OpenWebText_2gram	0.011005308211783102	0.007844893721658868
pythia	410m	seed1	0	OpenWebText_1gram	0.01799741823387756	0.022076542282582094
pythia	70m	seed3	8	Pile_5gram	0.07175903415317053	0.06912160306178002
pythia	70m	seed3	8	Pile_4gram	0.07935123227797783	0.07977655742221117
pythia	70m	seed3	8	Pile_3gram	0.09490751455781625	0.0946174572534961
pythia	70m	seed3	8	Pile_2gram	0.11664268368949163	0.11014862659819016
pythia	70m	seed3	8	Pile_1gram	0.14463941391229398	0.12887196163076636
pythia	70m	seed3	8	wcd_cc	0.1281214614630501	0.09728249458107552
pythia	70m	seed3	8	ucd_cc	0.13143693049637697	0.10069256996685304
pythia	70m	seed3	8	wcd_wiki	0.11699923560841448	0.08703055546909202
pythia	70m	seed3	8	ucd_wiki	0.10686958512435951	0.08340362706275121
pythia	70m	seed3	8	OpenWebText_5gram	0.07982911754317618	0.07790298658752223
pythia	70m	seed3	8	OpenWebText_4gram	0.08410008954962447	0.08465841870122277
pythia	70m	seed3	8	OpenWebText_3gram	0.09330724187693355	0.09478762755159276
pythia	70m	seed3	8	OpenWebText_2gram	0.11474318618975501	0.10996025180517743
pythia	70m	seed3	8	OpenWebText_1gram	0.1426882943376388	0.13276556113226537
pythia	1_4b	seed1234	143000	Pile_5gram	0.7441394646708354	0.7515200050835893
pythia	1_4b	seed1234	143000	Pile_4gram	0.7643106876778695	0.7761889474944923
pythia	1_4b	seed1234	143000	Pile_3gram	0.7503141832449265	0.752572971598752
pythia	1_4b	seed1234	143000	Pile_2gram	0.664344195103086	0.6631954469830021
pythia	1_4b	seed1234	143000	Pile_1gram	0.4991017570791533	0.49801240216083176
pythia	1_4b	seed1234	143000	wcd_cc	0.4698329159923249	0.47218590606710986
pythia	1_4b	seed1234	143000	ucd_cc	0.4621045760773941	0.4640430095267524
pythia	1_4b	seed1234	143000	wcd_wiki	0.4195200758996947	0.4120538268665794
pythia	1_4b	seed1234	143000	ucd_wiki	0.4049884069987234	0.391714997620376
pythia	1_4b	seed1234	143000	OpenWebText_5gram	0.7290472162941996	0.7396897565928707
pythia	1_4b	seed1234	143000	OpenWebText_4gram	0.7403245573454977	0.754852936137449
pythia	1_4b	seed1234	143000	OpenWebText_3gram	0.7355077761284076	0.7438655422976326
pythia	1_4b	seed1234	143000	OpenWebText_2gram	0.6621015340780915	0.6624876808505117
