RegressionType	ModelFamily	ModelSize	ModelSeed	ModelStep	Rsquared	Rsquared_val
UnmatchedNgram_UCDCC	pythia	70m	seed1	32	0.4563624499129144	0.4498538896832528
UnmatchedNgram_WCDCC	pythia	70m	seed1	32	0.45517164871480176	0.4484459600686229
UnmatchedNgram_UCDWiki	pythia	70m	seed1	32	0.4639785422986563	0.45696486579633844
UnmatchedNgram_WCDWiki	pythia	70m	seed1	32	0.46775392383480807	0.46103306969352686
MatchedNgram_UCDCC	pythia	70m	seed1	32	0.47143100205566035	0.46477814927963057
MatchedNgram_WCDCC	pythia	70m	seed1	32	0.4706590302082424	0.4638099518927049
MatchedNgram_UCDWiki	pythia	70m	seed1	32	0.4781180894949093	0.4711618549581217
MatchedNgram_WCDWiki	pythia	70m	seed1	32	0.48182278070749296	0.4751452436688637
UnmatchedNgram_UCDCC	pythia	14m	seed1	16000	0.6917128815511477	0.6944864627653619
UnmatchedNgram_WCDCC	pythia	14m	seed1	16000	0.6929038806883885	0.696039889480231
UnmatchedNgram_UCDWiki	pythia	14m	seed1	16000	0.7010104968094459	0.7034188216931185
UnmatchedNgram_WCDWiki	pythia	14m	seed1	16000	0.7020896773283636	0.704925041382402
MatchedNgram_UCDCC	pythia	14m	seed1	16000	0.6865371871451724	0.687901951393944
MatchedNgram_WCDCC	pythia	14m	seed1	16000	0.6883129365895152	0.6901335402443856
MatchedNgram_UCDWiki	pythia	14m	seed1	16000	0.6937168913813301	0.6950764557592206
MatchedNgram_WCDWiki	pythia	14m	seed1	16000	0.6961196947076154	0.6977125409034637
UnmatchedNgram_UCDCC	pythia	160m	seed7	128	0.8849406006142984	0.8846526501546708
UnmatchedNgram_WCDCC	pythia	160m	seed7	128	0.885764995334382	0.885487526050431
UnmatchedNgram_UCDWiki	pythia	160m	seed7	128	0.8831471504242947	0.8831547648259531
UnmatchedNgram_WCDWiki	pythia	160m	seed7	128	0.8841764746830307	0.8842757451945015
MatchedNgram_UCDCC	pythia	160m	seed7	128	0.9015683540321391	0.9021659306603245
MatchedNgram_WCDCC	pythia	160m	seed7	128	0.9026431012218521	0.9032310106737348
MatchedNgram_UCDWiki	pythia	160m	seed7	128	0.8995235773087714	0.9005031527917806
MatchedNgram_WCDWiki	pythia	160m	seed7	128	0.9005261581294386	0.9015543383498451
UnmatchedNgram_UCDCC	pythia	70m	seed8	1000	0.7099808616924701	0.7113708831657217
UnmatchedNgram_WCDCC	pythia	70m	seed8	1000	0.7113115682912874	0.7129463758579909
UnmatchedNgram_UCDWiki	pythia	70m	seed8	1000	0.7160559306825224	0.7171589039859828
UnmatchedNgram_WCDWiki	pythia	70m	seed8	1000	0.71696455590141	0.7183222512862681
MatchedNgram_UCDCC	pythia	70m	seed8	1000	0.7038246401756567	0.7060090428899601
MatchedNgram_WCDCC	pythia	70m	seed8	1000	0.7057684773296882	0.7082347752551137
MatchedNgram_UCDWiki	pythia	70m	seed8	1000	0.7081538524353872	0.7103401475151645
MatchedNgram_WCDWiki	pythia	70m	seed8	1000	0.7102858752656682	0.7124953297687631
UnmatchedNgram_UCDCC	pythia	14m	seed1	1	0.0004333989130255178	0.00023182270625499157
UnmatchedNgram_WCDCC	pythia	14m	seed1	1	0.00033122277488240037	0.0002038272095085114
UnmatchedNgram_UCDWiki	pythia	14m	seed1	1	0.00015885703896156844	0.00016778813007678473
UnmatchedNgram_WCDWiki	pythia	14m	seed1	1	0.0001617382047006677	0.0001944240578718448
MatchedNgram_UCDCC	pythia	14m	seed1	1	0.0003733870163628028	0.0001637635133147075
MatchedNgram_WCDCC	pythia	14m	seed1	1	0.0002815722020935718	0.00014222685689346815
MatchedNgram_UCDWiki	pythia	14m	seed1	1	0.00014671017321610247	0.00013279151283940305
MatchedNgram_WCDWiki	pythia	14m	seed1	1	0.0001473852669986453	0.00015339376534584392
UnmatchedNgram_UCDCC	pythia	410m	seed9	2	0.001956856559514608	0.000996641803141629
UnmatchedNgram_WCDCC	pythia	410m	seed9	2	0.001384604426999947	0.0005536788204726362
UnmatchedNgram_UCDWiki	pythia	410m	seed9	2	5.990318948967399e-05	0.00012655237635028627
UnmatchedNgram_WCDWiki	pythia	410m	seed9	2	6.497884786860197e-05	-9.935638623126408e-05
MatchedNgram_UCDCC	pythia	410m	seed9	2	0.0017079364015221143	0.0006539924160021693
MatchedNgram_WCDCC	pythia	410m	seed9	2	0.0011939762116967012	0.0002707170000394443
MatchedNgram_UCDWiki	pythia	410m	seed9	2	6.01178126469204e-05	8.762804292572479e-05
MatchedNgram_WCDWiki	pythia	410m	seed9	2	5.255760485523009e-05	-0.00017880197879471815
UnmatchedNgram_UCDCC	pythia	70m	seed9	0	0.00026030871132476374	-0.00010872403016404242
UnmatchedNgram_WCDCC	pythia	70m	seed9	0	0.0003610042737690611	-0.00010918713565666316
UnmatchedNgram_UCDWiki	pythia	70m	seed9	0	0.0004069494684438846	-3.8775816960212595e-05
UnmatchedNgram_WCDWiki	pythia	70m	seed9	0	0.0005076923367074437	-2.5826094089964613e-06
MatchedNgram_UCDCC	pythia	70m	seed9	0	0.00034399379781258066	-0.00020407712714320958
MatchedNgram_WCDCC	pythia	70m	seed9	0	0.0004585107701804425	-0.00021815470454411567
MatchedNgram_UCDWiki	pythia	70m	seed9	0	0.000477738711321507	-0.00018927977384697314
MatchedNgram_WCDWiki	pythia	70m	seed9	0	0.0005887898057597152	-0.00018403314928439052
UnmatchedNgram_UCDCC	pythia	31m	seed4	4000	0.6902435008888188	0.691855335816902
UnmatchedNgram_WCDCC	pythia	31m	seed4	4000	0.6913227870350918	0.6932900441021319
UnmatchedNgram_UCDWiki	pythia	31m	seed4	4000	0.7035231781479685	0.7049185518766605
UnmatchedNgram_WCDWiki	pythia	31m	seed4	4000	0.7037756222843753	0.7058262345790662
MatchedNgram_UCDCC	pythia	31m	seed4	4000	0.688738238539379	0.6897670571474885
MatchedNgram_WCDCC	pythia	31m	seed4	4000	0.6904303854397148	0.6918547558393056
MatchedNgram_UCDWiki	pythia	31m	seed4	4000	0.700048626727464	0.7010994930601899
MatchedNgram_WCDWiki	pythia	31m	seed4	4000	0.7018617301893804	0.7032629973675122
UnmatchedNgram_UCDCC	pythia	70m	seed1	0	0.007366572909222602	0.008193243114608673
UnmatchedNgram_WCDCC	pythia	70m	seed1	0	0.007429623229207483	0.00824886708291861
